Order_ID,Order_Date,Product,Category,Region,Sales,Quantity,Profit
1001,01-05-2023,Laptop,Electronics,North,55000,1,8000
1002,01-07-2023,Mobile,Electronics,East,20000,2,3000
1003,01-10-2023,Chair,Furniture,West,7000,3,1500
1004,02-02-2023,Desk,Furniture,North,12000,1,2500
1005,02-05-2023,Tablet,Electronics,South,18000,1,4000
1006,15-02-2023,Laptop,Electronics,West,55000,1,7500
1007,03-01-2023,Mobile,Electronics,North,21000,2,3500
1008,03-10-2023,Printer,Electronics,East,15000,1,2000
1009,03-12-2023,Chair,Furniture,South,7200,3,1600
1010,20-03-2023,Desk,Furniture,West,12500,1,2600
1011,04-05-2023,Laptop,Electronics,South,56000,1,8200
1012,04-07-2023,Tablet,Electronics,North,17500,1,3800
1013,15-04-2023,Mobile,Electronics,West,20500,2,3300
1014,05-02-2023,Printer,Electronics,South,15500,1,2100
1015,05-10-2023,Desk,Furniture,East,13000,1,2700
1016,06-01-2023,Laptop,Electronics,East,54000,1,7800
1017,06-05-2023,Chair,Furniture,North,6900,3,1400
1018,15-06-2023,Tablet,Electronics,West,18500,1,4200
1019,07-03-2023,Mobile,Electronics,South,22000,2,3600
1020,07-10-2023,Printer,Electronics,North,14800,1,1900
